factor,h,IC_mean,IC_std,IC_IR,IC_t,RankIC_mean,RankIC_std,RankIC_IR,RankIC_t,n_days
amihud_20,1,-0.0022369697515294594,0.14854653873877383,-0.015059049982061699,-0.6512059770129377,-0.004986746963032467,0.16953019879398368,-0.029415095354736517,-1.272011576575391,1870
amihud_20,5,0.002679801431273971,0.14669355036416318,0.018268024903763176,0.789973273196022,-0.006267874920987759,0.16278631097136442,-0.03850369778384089,-1.6650345250068816,1870
amihud_20,10,0.004791920144766423,0.14466669322949932,0.033123865886424304,1.4323917825300487,-0.006288678491280739,0.1522901446037388,-0.04129406080507687,-1.785699578886726,1870
amihud_20,20,0.0045336451163268555,0.1456823847682566,0.03112006385355872,1.3457403760929147,-0.0071685185462828736,0.14774567826815987,-0.04851931122663325,-2.0981446710763065,1870
mom_20,1,-0.009542528365150337,0.22170692124361893,-0.043041183881962305,-1.8612512897582818,-0.011423474782805254,0.22413727569376965,-0.05096642112493916,-2.203966259694618,1870
mom_20,5,-0.017480768309896866,0.2122467195027288,-0.08236060538816535,-3.5615605607967025,-0.01984583367038221,0.2113750533326388,-0.09388919533068558,-4.060097101019579,1870
mom_20,10,-0.02163649648256691,0.20097635905892833,-0.10765692335098413,-4.655461801142545,-0.023059316550218815,0.19880932726529713,-0.11598709611570573,-5.015687598945124,1870
mom_20,20,-0.023816904749373174,0.19223726658265555,-0.12389327612048992,-5.357578467266072,-0.026504399393814788,0.1847122638192761,-0.14349019846211672,-6.205017912325845,1870
mom_60,1,0.0013171531940236823,0.2427914759851142,0.005425038867939657,0.23459764995388743,0.003308430889744075,0.24232935157193036,0.013652621394325966,0.5903870871316794,1870
mom_60,5,-0.0022633673904775826,0.23621845709054112,-0.009581670367146829,-0.4143449301440933,-0.0012378980698226922,0.2349969761937638,-0.005267719142062487,-0.22779459491952042,1870
mom_60,10,-0.0031759842862826857,0.2205617939630328,-0.01439952146388053,-0.6226856577655967,-0.003521790148036123,0.21396519504286982,-0.01645964030425837,-0.7117723998780856,1870
mom_60,20,0.0025558368227311962,0.21463271557395286,0.011907955485241805,0.5149416327876353,0.0002690370305187074,0.20159367902133304,0.0013345509235447675,0.05771064835269951,1870
rev_5,1,0.013457539279910332,0.219802888686068,0.06122548871107409,2.647604214189016,0.019965974036132535,0.22163085099321034,0.09008661901832518,3.8956604051053865,1870
rev_5,5,0.019029021384647554,0.2119163137181874,0.08979498109783521,3.8830489616761583,0.026149617444542,0.21115568496871107,0.12384046135635342,5.355294572191603,1870
rev_5,10,0.013132784895322077,0.20399079983825183,0.06437929997693675,2.7839860410072395,0.02060080490213295,0.20303377460245928,0.10146491608339245,4.387697755789984,1870
rev_5,20,0.019590103598758533,0.19321973493391956,0.10138769523443492,4.384358456269027,0.021930414144470344,0.19007834593029044,0.11537565753288452,4.98924685665502,1870
vol_20,1,0.0027305458750138813,0.2788478620841956,0.009792242460117615,0.423450803734927,-0.010206006293689803,0.29325428415929616,-0.034802582076331696,-1.5049853404157245,1870
vol_20,5,0.009462005289127043,0.26651364676175743,0.03550289226872252,1.5352692018539444,-0.0070559928815857025,0.2771448528164229,-0.025459584797916122,-1.100961469177676,1870
vol_20,10,0.011455155937973851,0.2558326824946585,0.04477596773904374,1.936269409619939,-0.006586419381502766,0.26145379873478275,-0.025191522989436433,-1.0893695392684977,1870
vol_20,20,0.010527308022275658,0.2515117577587305,0.041856126791393444,1.810005277466718,-0.009933194316495577,0.2444325269031929,-0.04063777616810222,-1.7573195364053782,1870
volu_z_20,1,0.0013922876281157023,0.16025113443431357,0.0086881608235129,0.37570645321323604,-0.0006183532145567915,0.13514091594593314,-0.004575618051931665,-0.1978657237671413,1870
volu_z_20,5,0.0037734974998339223,0.13675269513951782,0.027593587797184727,1.1932432206654944,-1.5603654148879846e-05,0.12656854815060756,-0.00012328224015268477,-0.005331155135457055,1870
volu_z_20,10,0.005996822290642299,0.1259334062787985,0.04761899537098357,2.0592118654147953,0.005219339614217965,0.1253869412091497,0.0416258628202113,1.800047858206993,1870
volu_z_20,20,0.008345934723136652,0.12188683094956783,0.06847281743332785,2.9610040493001986,0.009813395645430763,0.12127175763287303,0.0809207010517563,3.499294062490808,1870
