ticker
AAPL
MSFT
NVDA
AMZN
GOOG
GOOGL
META
AVGO
AMD
ADBE
ORCL
CRM
INTU
NOW
SNOW
MDB
DDOG
NET
ZS
CRWD
PANW
FTNT
OKTA
S
CHKP
GEN
TEAM
SHOP
UBER
ABNB
BKNG
NFLX
SPOT
PYPL
COIN
PLTR
ARM
ASML
TSM
AMAT
LRCX
KLAC
ADI
MU
QCOM
TXN
NXPI
MRVL
MCHP
ON
MPWR
SWKS
QRVO
TER
ENTG
WDC
STX
ANET
CSCO
DELL
HPE
HPQ
SMCI
IBM
ACN
INTC
GFS
FSLY
AKAM
DOCU
TWLO
ZM
RBLX
ROKU
PINS
SNAP
RIVN
LCID
TSLA
ADSK
CDNS
SNPS
WDAY
SAP
SONY
NTES
BIDU
BABA
JD
PDD
INFY
WIT
DT
ESTC
GTLB
PATH
AI
SOUN
CFLT
FIVN
HUBS
DBX
BOX
DOCN
FROG
APP
U
EA
TTWO
MSI
APH
KEYS
GLW
STM
UMC
ASX
QDEL
DIS
V
MA
AXP
JPM
GS
MS
BAC
SCHW
BLK
SPGI
ICE
CME
